n_people,window1_tg,window2_tg,window3_tg,window4_tg,room_size,date,time,ext_temperature,shutter1_tg,shutter2_tg,shutter3_tg,shutter4_tg,temperature_opt,co2_opt,pressure_opt,brightness_opt,humidity_opt,window1_now,window2_now,window3_now,window4_now,shutter1_now,shutter2_now,shutter3_now,shutter4_now,temperature_now,co2_now,pressure_now,brightness_now,humidity_now
1,0,1,0,0,25,2024-06-01,00:10:00,15.0,1.0,1.0,1.0,1.0,21.0,345.0747778373155,1.0,0.0,53.81,0,1,0,0,1.0,0.9,0.9,0.9,19.763416206094,343.0304071961022,1.1226126501211722,0.0,51.30629412230697
1,0,1,0,0,25,2024-06-01,00:11:00,15.0,1.0,1.0,1.0,1.0,21.0,329.9657309934681,0.99,0.0,52.9,0,1,0,0,1.0,0.9,1.0,1.0,19.224126903583127,332.18290801598437,0.9625270376955841,0.0,51.600485739513765
2,0,1,0,0,25,2024-06-01,00:12:00,15.0,1.0,1.0,1.0,1.0,21.0,381.6170834484277,1.0,0.0,52.99,0,1,1,0,1.0,1.0,1.0,0.9,19.749274213073566,364.30274487021563,0.8859929971865792,0.0,58.773410846830664
2,0,1,0,0,25,2024-06-01,00:13:00,15.0,1.0,1.0,1.0,1.0,21.0,386.2673689511132,1.0,0.0,57.28,0,1,0,0,0.9,1.0,0.9,1.0,21.492651621269786,410.87727500337684,1.0673711611359111,0.0,59.728824636092746
2,0,1,0,0,25,2024-06-01,00:14:00,15.0,1.0,1.0,1.0,1.0,21.0,379.2790412119573,1.0,0.0,69.06,0,1,0,0,0.9,1.0,1.0,0.9,23.431984046618222,415.361792340188,0.91331504932585,0.0,79.22914310405653
2,0,1,0,0,25,2024-06-01,00:15:00,15.0,1.0,1.0,1.0,1.0,21.0,349.09570448800594,1.0,0.0,49.41,0,1,0,1,1.0,1.0,0.9,1.0,22.43151417835865,322.1389051367272,1.1480250504691418,0.0,55.98271750922115
2,0,1,0,0,25,2024-06-01,00:16:00,15.0,1.0,1.0,1.0,1.0,21.0,392.55298501102345,1.0,0.0,56.3,0,1,0,0,0.9,0.9,0.9,1.0,19.441496553750515,420.7093876483141,0.9689689685492826,0.0,49.19900364401821
2,0,1,0,0,25,2024-06-01,00:17:00,15.0,1.0,1.0,1.0,1.0,21.0,372.3456731641605,1.0,0.0,51.64,0,1,0,0,1.0,1.0,0.9,0.9,20.064862156170676,318.05656459229147,0.9250053353193207,0.0,51.20900719547468
2,0,1,0,0,25,2024-06-01,00:18:00,15.0,1.0,1.0,1.0,1.0,21.0,356.9483455822002,1.0,0.0,42.04,0,1,0,0,1.0,0.9,1.0,1.0,21.75494508250888,317.9906924920736,1.1059563704901492,0.0,36.30567697872483
2,0,1,0,0,25,2024-06-01,00:19:00,15.0,1.0,1.0,1.0,1.0,21.0,365.5136911262616,1.0,0.0,43.62,0,1,0,0,1.0,1.0,1.0,1.0,21.95334008221717,329.74454826368515,1.0009160758211877,0.0,37.10714188974919
2,0,1,0,0,25,2024-06-01,00:20:00,15.0,1.0,1.0,1.0,1.0,21.0,342.25426542393444,1.0,0.0,66.42,0,1,0,0,1.0,1.0,1.0,0.9,19.43991364072613,360.7071545860901,0.9081889901051479,0.0,63.033608009529125
2,0,1,0,0,25,2024-06-01,00:21:00,15.0,1.0,1.0,1.0,1.0,21.0,347.67200807334507,1.0,0.0,42.05,0,1,0,0,1.0,1.0,1.0,1.0,18.05067178911878,311.7808395746854,1.1255991921723403,0.0,43.229938449515004
2,0,1,0,0,25,2024-06-01,00:22:00,15.0,1.0,1.0,1.0,1.0,21.0,385.9328050309516,1.0,0.0,30.69,0,1,0,0,1.0,1.0,1.0,1.0,18.795142430132582,377.4052108951077,1.050982284764345,0.0,29.36193599113754
2,0,1,0,0,25,2024-06-01,00:23:00,15.0,1.0,1.0,1.0,1.0,21.0,340.000698085322,1.0,0.0,32.62,0,1,0,0,1.0,1.0,0.9,1.0,18.9749263501497,370.74449666448345,1.127580255852045,0.0,32.77602461849377
2,0,1,0,0,25,2024-06-01,00:24:00,15.0,1.0,1.0,1.0,1.0,21.0,364.9939497089375,1.0,0.0,48.73,0,1,0,0,0.9,1.0,0.9,1.0,19.52769667337494,354.83571750720535,0.8552997577379386,0.0,48.903063298582424
2,0,1,0,0,25,2024-06-01,00:25:00,15.0,1.0,1.0,1.0,1.0,21.0,371.3506108651353,1.0,0.0,34.74,0,1,0,0,1.0,0.9,1.0,1.0,18.20962658197537,342.9470932776028,1.1029578646652773,0.0,33.81359483885919
2,0,1,0,0,25,2024-06-01,00:26:00,15.0,1.0,1.0,1.0,1.0,21.0,343.27806520005834,1.0,0.0,45.06,0,0,0,0,1.0,0.9,1.0,1.0,18.853122958524345,306.3306466364541,0.8804855735966828,0.0,51.497470722881005
2,0,1,0,0,25,2024-06-01,00:27:00,15.0,1.0,1.0,1.0,1.0,21.0,398.38468977834,1.0,0.0,37.33,0,0,1,0,1.0,1.0,1.0,1.0,17.973997236409485,351.99542952119816,0.9894039844704487,0.0,32.101688663350394
2,0,1,0,0,25,2024-06-01,00:28:00,15.0,1.0,1.0,1.0,1.0,21.0,353.56751987498035,1.0,0.0,53.62,0,1,0,0,0.9,1.0,1.0,1.0,22.687615433016955,378.12786595974,0.9056812273528753,0.0,56.4593309117506
2,0,1,0,0,25,2024-06-01,00:29:00,15.0,1.0,1.0,1.0,1.0,21.0,358.25192317817687,1.0,0.0,31.32,0,1,0,0,1.0,1.0,1.0,0.9,18.911584609225272,386.98103161143763,0.8799809204117127,0.0,33.11036250845647
1,0,1,0,0,25,2024-06-01,00:30:00,15.0,1.0,1.0,1.0,1.0,21.0,329.1182753676508,0.99,0.0,47.29,0,1,0,0,0.9,1.0,1.0,1.0,21.505630066964702,342.30803752355024,1.1195703950363542,0.0,51.125843945495426
1,0,1,0,0,25,2024-06-01,00:31:00,15.0,1.0,1.0,1.0,1.0,21.0,326.9124998635205,0.99,0.0,41.78,1,1,0,0,0.9,0.9,1.0,0.9,23.13431879533346,309.1903090076029,1.0161461542199608,0.0,42.65509704513687
1,0,1,0,0,25,2024-06-01,00:32:00,15.0,1.0,1.0,1.0,1.0,21.0,320.0442146625893,0.99,0.0,55.6,0,1,1,0,0.9,0.9,1.0,1.0,24.062430830869918,276.4902429210513,0.8492050903955151,0.0,56.4573673494691
1,0,1,0,0,25,2024-06-01,00:33:00,15.0,1.0,1.0,1.0,1.0,21.0,341.8803438226399,0.98,0.0,69.86,0,1,0,0,1.0,1.0,1.0,0.9,18.087838767812276,368.825975525639,1.109106432915231,0.0,75.72627461800978
2,0,1,0,0,25,2024-06-01,00:34:00,15.0,1.0,1.0,1.0,1.0,21.0,398.0107299879571,0.99,0.0,35.87,0,1,0,0,0.9,1.0,1.0,1.0,20.73997386723488,439.22147893630927,1.0944117424091115,0.0,38.71973401438276
3,0,1,0,0,25,2024-06-01,00:35:00,15.0,1.0,1.0,1.0,1.0,21.0,380.1864134956541,1.0,0.0,62.28,0,1,0,0,1.0,1.0,1.0,1.0,19.550363802840756,360.0679907099943,1.0730463225014963,0.0,66.3022084671498
3,0,1,0,0,25,2024-06-01,00:36:00,15.0,1.0,1.0,1.0,1.0,21.0,419.674247262308,1.0,0.0,34.7,0,1,0,0,0.9,1.0,1.0,1.0,20.65949073992612,481.40221555398193,1.0678143293137772,0.0,39.357670287204705
3,0,1,0,0,25,2024-06-01,00:37:00,15.0,1.0,1.0,1.0,1.0,21.0,426.7706694262844,1.0,0.0,32.28,0,1,0,1,1.0,1.0,0.9,1.0,21.909804712978946,366.41661678480534,0.9786855760636759,0.0,27.826179945514752
2,0,1,0,0,25,2024-06-01,00:38:00,15.0,1.0,1.0,1.0,1.0,21.0,390.9055227454315,0.99,0.0,48.31,0,1,0,0,1.0,0.9,0.9,1.0,22.958164572651796,346.26778923535227,0.8903244697134062,0.0,52.20956568127413
2,0,1,0,0,25,2024-06-01,00:39:00,15.0,1.0,1.0,1.0,1.0,21.0,365.3577518208165,0.99,0.0,49.47,0,1,0,0,1.0,0.9,1.0,1.0,23.875939815738292,366.87869352087455,0.9772421971050893,0.0,45.275606563063235
2,0,1,0,0,25,2024-06-01,00:40:00,15.0,1.0,1.0,1.0,1.0,21.0,358.1758543384258,0.99,0.0,36.81,0,1,0,0,1.0,1.0,1.0,0.9,18.901524014511228,331.64214462247855,1.0765968975470228,0.0,40.34626782830614
2,0,1,0,0,25,2024-06-01,00:41:00,15.0,1.0,1.0,1.0,1.0,21.0,359.51770804138187,0.99,0.0,62.92,0,1,1,1,1.0,1.0,0.9,1.0,21.06578503834994,356.75537906411904,1.0828033316153092,0.0,59.09560652629659
2,0,1,0,0,25,2024-06-01,00:42:00,15.0,1.0,1.0,1.0,1.0,21.0,382.7572799859108,0.99,0.0,65.28,0,1,0,0,0.9,1.0,1.0,1.0,19.957217972714037,416.18462980983736,1.028133137974662,0.0,66.98197926873698
1,0,1,0,0,25,2024-06-01,00:43:00,15.0,1.0,1.0,1.0,1.0,21.0,344.5033839951691,0.98,0.0,61.99,0,1,0,0,1.0,1.0,0.9,1.0,23.53407711165476,344.6215645497953,0.909936608226094,0.0,52.9274058702698
2,0,1,0,0,25,2024-06-01,00:44:00,15.0,1.0,1.0,1.0,1.0,21.0,350.89683806539614,0.99,0.0,69.35,0,1,0,0,1.0,1.0,1.0,1.0,18.392810346564023,383.70716573173326,0.909934767019428,0.0,60.61424619119423
2,0,1,0,0,25,2024-06-01,00:45:00,15.0,1.0,1.0,1.0,1.0,21.0,362.2564604894659,0.99,0.0,39.8,0,1,0,0,1.0,0.9,1.0,1.0,23.352347375336304,412.1270214487757,0.9412120710099084,0.0,35.920833530925535
2,0,1,0,0,25,2024-06-01,00:46:00,15.0,1.0,1.0,1.0,1.0,21.0,394.116411804949,0.99,0.0,63.74,1,1,0,0,0.9,0.9,1.0,0.9,23.08562344454095,385.89028649835416,0.8942971494584969,0.0,71.35903174720049
2,0,1,0,0,25,2024-06-01,00:47:00,15.0,1.0,1.0,1.0,1.0,21.0,388.4016111816844,0.99,0.0,43.41,1,1,0,0,1.0,0.9,1.0,1.0,23.28151303891032,387.5039789665265,0.8494277112142371,0.0,43.55892910802583
2,0,1,0,0,25,2024-06-01,00:48:00,15.0,1.0,1.0,1.0,1.0,21.0,399.0915041657486,0.99,0.0,61.91,0,1,1,0,0.9,1.0,1.0,0.9,18.798796360226603,347.1073871661856,1.0196589168106076,0.0,68.20130182854275
2,0,1,0,0,25,2024-06-01,00:49:00,15.0,1.0,1.0,1.0,1.0,21.0,385.2548955809249,0.99,0.0,51.48,0,0,1,0,1.0,1.0,0.9,1.0,22.784649527704833,366.7275991115607,0.9152821945454326,0.0,53.33000967484168
2,0,1,0,0,25,2024-06-01,00:50:00,15.0,1.0,1.0,1.0,1.0,21.0,363.59171206167537,0.99,0.0,38.34,0,1,0,0,1.0,1.0,1.0,1.0,21.338040272719375,362.1399333142068,0.9245472612547732,0.0,34.867344806801356
3,0,1,0,0,25,2024-06-01,00:51:00,15.0,1.0,1.0,1.0,1.0,21.0,413.1574050595174,1.0,0.0,33.38,0,1,0,0,0.9,1.0,0.9,0.9,23.14268015211064,354.0763853654275,0.9225212386582287,0.0,29.057594206097427
3,0,1,0,0,25,2024-06-01,00:52:00,15.0,1.0,1.0,1.0,1.0,21.0,419.4912828822588,1.0,0.0,68.04,1,1,0,0,0.9,1.0,1.0,1.0,20.656692014135697,375.41495973767735,0.8881590868302022,0.0,66.50803426181407
4,0,1,0,0,25,2024-06-01,00:53:00,15.0,1.0,1.0,1.0,1.0,21.0,389.4146979580549,1.01,0.0,35.98,0,1,0,0,1.0,1.0,1.0,1.0,22.317691803916368,367.62963192063035,1.0219055407827367,0.0,41.05707886081287
4,0,1,0,0,25,2024-06-01,00:54:00,15.0,1.0,1.0,1.0,1.0,21.0,445.3396350924638,1.01,0.0,49.79,0,1,0,0,0.9,0.9,0.9,0.9,22.715622009897707,419.2416352099476,0.9483325304927099,0.0,48.08402595156032
4,0,1,0,0,25,2024-06-01,00:55:00,15.0,1.0,1.0,1.0,1.0,21.0,465.1184994167131,1.01,0.0,47.34,0,0,0,1,1.0,1.0,1.0,0.9,18.390265167627604,457.8444997163384,1.0706202553732758,0.0,45.123956497275465
5,0,1,0,0,25,2024-06-01,00:56:00,15.0,1.0,1.0,1.0,1.0,21.0,425.09819560015904,1.02,0.0,54.15,0,1,0,0,1.0,1.0,0.9,1.0,20.400333142426888,448.0295061595972,0.9840093554477866,0.0,52.19167301727928
4,0,1,0,0,25,2024-06-01,00:57:00,15.0,1.0,1.0,1.0,1.0,21.0,473.6758060910669,1.01,0.0,48.04,0,1,0,0,1.0,1.0,1.0,1.0,19.23921413234078,522.1834433537704,0.9623201949309592,0.0,47.569127840424194
4,0,1,0,0,25,2024-06-01,00:58:00,15.0,1.0,1.0,1.0,1.0,21.0,450.0527336616934,1.01,0.0,32.98,0,1,0,0,0.9,0.9,1.0,1.0,22.447227269498597,466.35512320192396,1.0866933639282685,0.0,32.96243207482662
3,0,1,0,0,25,2024-06-01,00:59:00,15.0,1.0,1.0,1.0,1.0,21.0,445.69996071278354,1.0,0.0,51.79,0,1,0,0,1.0,1.0,1.0,0.9,22.336832195672788,478.37183510070827,0.8811403252060408,0.0,49.796657893781585
3,0,1,0,0,25,2024-06-01,01:00:00,15.0,1.0,1.0,1.0,1.0,21.0,363.81800683862025,1.0,0.0,46.18,0,0,0,0,1.0,1.0,0.9,1.0,19.582786105498155,390.11336839633145,0.9113762384888986,0.0,43.7655542828361
3,0,1,0,0,25,2024-06-01,01:01:00,15.0,1.0,1.0,1.0,1.0,21.0,383.879352379992,1.0,0.0,69.12,0,1,0,1,1.0,1.0,0.9,1.0,24.043996130113154,383.4874960452783,0.9358280098507449,0.0,64.48315413788194
3,0,1,0,0,25,2024-06-01,01:02:00,15.0,1.0,1.0,1.0,1.0,21.0,414.13984913698414,1.0,0.0,67.3,0,0,0,0,1.0,1.0,1.0,0.9,23.299160172022106,431.30108919281423,0.86449676237098,0.0,65.09874695529427
3,0,1,0,0,25,2024-06-01,01:03:00,15.0,1.0,1.0,1.0,1.0,21.0,386.6903920985338,1.0,0.0,64.06,0,1,0,0,1.0,0.9,0.9,0.9,20.876945942285076,395.1130495341579,1.0686833133708629,0.0,69.42631350406923
3,0,1,0,0,25,2024-06-01,01:04:00,15.0,1.0,1.0,1.0,1.0,21.0,424.2981747664118,1.0,0.0,38.43,1,1,0,1,0.9,1.0,1.0,0.9,19.86357639337247,371.2282384439607,0.8738083731151816,0.0,35.94246193091918
3,0,1,0,0,25,2024-06-01,01:05:00,15.0,1.0,1.0,1.0,1.0,21.0,428.31047542697377,1.0,0.0,58.37,0,1,0,0,1.0,0.9,1.0,1.0,22.53984451062917,473.41606904756634,0.8749717025225997,0.0,55.88365182022022
3,0,1,0,0,25,2024-06-01,01:06:00,15.0,1.0,1.0,1.0,1.0,21.0,369.2264367659827,1.0,0.0,67.03,1,0,0,0,1.0,1.0,1.0,1.0,20.313175220606905,329.94450965503574,0.871834281442197,0.0,67.97957872340582
3,0,1,0,0,25,2024-06-01,01:07:00,15.0,1.0,1.0,1.0,1.0,21.0,406.2469017786091,1.0,0.0,45.87,0,1,0,1,0.9,0.9,0.9,1.0,21.622591056575875,385.4432308423338,1.0013052819024875,0.0,45.71272180836226
3,0,1,0,0,25,2024-06-01,01:08:00,15.0,1.0,1.0,1.0,1.0,21.0,405.80015000319503,1.0,0.0,51.3,0,1,0,0,0.9,1.0,0.9,0.9,20.30774739081815,432.4644524262801,0.9227483539285318,0.0,43.78223994343111
2,0,1,0,0,25,2024-06-01,01:09:00,15.0,1.0,1.0,1.0,1.0,21.0,362.15684621293246,0.99,0.0,45.19,0,1,0,0,1.0,1.0,0.9,1.0,19.210854973923706,385.6378393529533,1.1176129920039137,0.0,50.86146986509354
3,0,1,0,0,25,2024-06-01,01:10:00,15.0,1.0,1.0,1.0,1.0,21.0,443.9632376312705,1.0,0.0,64.85,0,1,0,0,0.9,1.0,1.0,0.9,23.937985705562483,404.4607405916749,0.9318363694783666,0.0,62.31401627531268
3,0,1,0,0,25,2024-06-01,01:11:00,15.0,1.0,1.0,1.0,1.0,21.0,434.4755687885899,1.0,0.0,48.32,0,1,1,0,1.0,0.9,1.0,1.0,23.766819958398607,426.8213829474499,0.9445121764507116,0.0,43.19889970815134
3,0,1,0,0,25,2024-06-01,01:12:00,15.0,1.0,1.0,1.0,1.0,21.0,422.74884437186734,1.0,0.0,33.04,0,1,0,0,1.0,0.9,0.9,1.0,20.426425087449488,478.1577026582251,0.994593435224578,0.0,31.275956439917714
2,0,1,0,0,25,2024-06-01,01:13:00,15.0,1.0,1.0,1.0,1.0,21.0,382.8595981440999,0.99,0.0,39.59,0,1,0,0,1.0,0.9,1.0,0.9,24.112991312370625,394.29262916110963,1.126213246199841,0.0,42.46464771324848
2,0,1,0,0,25,2024-06-01,01:14:00,15.0,1.0,1.0,1.0,1.0,21.0,367.7029686287872,0.99,0.0,55.53,0,1,0,0,1.0,1.0,1.0,1.0,21.707731791161372,386.1791433862673,0.8570614327642897,0.0,50.515594904661825
2,0,1,0,0,25,2024-06-01,01:15:00,15.0,1.0,1.0,1.0,1.0,21.0,395.25967126579457,0.99,0.0,54.49,0,1,0,0,0.9,1.0,0.9,1.0,18.040689223536802,401.5728929560898,0.9158010587305414,0.0,58.21588766535555
2,0,1,0,0,25,2024-06-01,01:16:00,15.0,1.0,1.0,1.0,1.0,21.0,381.6757256351971,0.99,0.0,69.93,0,1,0,0,1.0,1.0,1.0,1.0,23.139297090175813,393.37226142478414,0.9421936548679218,0.0,70.67720330284087
2,0,1,0,0,25,2024-06-01,01:17:00,15.0,1.0,1.0,1.0,1.0,21.0,383.738863699349,0.99,0.0,36.97,0,1,0,0,0.9,0.9,0.9,1.0,22.270982419446632,336.2157108753554,1.0440112537285788,0.0,35.52067183016939
1,0,1,0,0,25,2024-06-01,01:18:00,15.0,1.0,1.0,1.0,1.0,21.0,345.85072711362034,0.98,0.0,51.86,0,1,0,0,1.0,1.0,1.0,1.0,18.139487970120612,295.5822586419924,0.9764985855153128,0.0,47.73953436791002
1,0,1,0,0,25,2024-06-01,01:19:00,15.0,1.0,1.0,1.0,1.0,21.0,328.2221476802657,0.98,0.0,38.83,0,0,0,0,1.0,1.0,1.0,1.0,23.64415336928562,370.58509527488917,1.048796171466643,0.0,43.127587388881494
1,0,1,0,0,25,2024-06-01,01:20:00,15.0,1.0,1.0,1.0,1.0,21.0,344.21212711600106,0.98,0.0,56.69,0,1,0,0,1.0,0.9,1.0,1.0,24.072356573853522,365.4711547999835,0.9108166913130452,0.0,52.37425673724464
1,0,1,0,0,25,2024-06-01,01:21:00,15.0,1.0,1.0,1.0,1.0,21.0,325.8572180886948,0.98,0.0,48.66,0,0,0,0,1.0,1.0,0.9,0.9,21.580491336310697,315.730623876917,1.0093475814574828,0.0,43.912187522700165
1,0,1,0,0,25,2024-06-01,01:22:00,15.0,1.0,1.0,1.0,1.0,21.0,330.36025856734665,0.98,0.0,53.52,0,0,0,0,0.9,1.0,0.9,1.0,20.32697850065783,369.5854480648381,0.9336687286613294,0.0,49.1801664636659
1,0,1,0,0,25,2024-06-01,01:23:00,15.0,1.0,1.0,1.0,1.0,21.0,330.06831362809527,0.98,0.0,53.88,0,1,0,0,0.9,1.0,0.9,1.0,21.05598501540912,304.5510678207862,0.9476977077544965,0.0,51.626900077903876
1,0,1,0,0,25,2024-06-01,01:24:00,15.0,1.0,1.0,1.0,1.0,21.0,349.3557640516742,0.97,0.0,52.38,0,1,1,1,0.9,1.0,1.0,0.9,19.809518874606958,314.0149225683978,0.884577786741787,0.0,58.89354737867441
1,0,1,0,0,25,2024-06-01,01:25:00,15.0,1.0,1.0,1.0,1.0,21.0,345.6961167124378,0.97,0.0,67.4,0,0,0,0,1.0,1.0,1.0,1.0,20.849782356780846,368.48873034290995,0.8254341066042513,0.0,72.20245397045855
1,0,1,0,0,25,2024-06-01,01:26:00,15.0,1.0,1.0,1.0,1.0,21.0,341.0350958477078,0.97,0.0,67.84,0,1,0,0,0.9,1.0,1.0,0.9,19.03513196525943,381.38538182703314,0.9324809025808819,0.0,64.28202622521069
1,0,1,0,0,25,2024-06-01,01:27:00,15.0,1.0,1.0,1.0,1.0,21.0,341.8117028484617,0.97,0.0,54.02,0,1,0,0,1.0,1.0,1.0,0.9,21.348543949421025,294.715834018889,1.0552154582636446,0.0,50.14931450354073
1,0,1,0,0,25,2024-06-01,01:28:00,15.0,1.0,1.0,1.0,1.0,21.0,336.8621838320771,0.97,0.0,30.17,0,1,0,0,1.0,1.0,1.0,1.0,22.136213070567578,365.4634969047379,1.0503678901404097,0.0,28.733363657157085
1,0,1,0,0,25,2024-06-01,01:29:00,15.0,1.0,1.0,1.0,1.0,21.0,348.4127200132556,0.97,0.0,32.15,0,1,0,0,0.9,1.0,0.9,1.0,19.549938738646695,371.1410759942147,0.9588674039995638,0.0,32.28787643946598
1,0,1,0,0,25,2024-06-01,01:30:00,15.0,1.0,1.0,1.0,1.0,21.0,334.88776258647084,0.97,0.0,66.65,0,1,0,0,1.0,1.0,1.0,1.0,22.34594286578177,361.2944147610209,1.0994501129718424,0.0,72.6797117853377
1,0,1,0,0,25,2024-06-01,01:31:00,15.0,1.0,1.0,1.0,1.0,21.0,331.41553129609684,0.97,0.0,41.98,0,1,0,0,1.0,1.0,1.0,1.0,22.274543070947203,288.31670659202854,0.943488652899974,0.0,39.888874698463184
1,0,1,0,0,25,2024-06-01,01:32:00,15.0,1.0,1.0,1.0,1.0,21.0,324.89106010794774,0.97,0.0,66.6,0,1,0,0,1.0,0.9,1.0,1.0,18.665542162886812,368.87676910528324,0.8479723491620765,0.0,66.97746209598901
1,0,1,0,0,25,2024-06-01,01:33:00,15.0,1.0,1.0,1.0,1.0,21.0,343.58616956783175,0.97,0.0,35.09,0,1,0,0,0.9,0.9,1.0,1.0,22.918853642332387,357.59687620684366,1.0805168616699072,0.0,30.949825151223816
1,0,1,0,0,25,2024-06-01,01:34:00,15.0,1.0,1.0,1.0,1.0,21.0,342.03331796226774,0.97,0.0,68.71,0,1,0,0,1.0,1.0,1.0,1.0,20.795587544298716,337.0906453834377,0.9211632292926732,0.0,74.92394042127232
1,0,1,0,0,25,2024-06-01,01:35:00,15.0,1.0,1.0,1.0,1.0,21.0,331.53065115572406,0.97,0.0,35.08,0,1,0,0,0.9,0.9,1.0,0.9,19.053552485427062,340.25798965141655,1.017010110558701,0.0,31.57408400499936
1,0,1,0,0,25,2024-06-01,01:36:00,15.0,1.0,1.0,1.0,1.0,21.0,320.75580241877685,0.97,0.0,33.44,0,1,0,0,1.0,0.9,0.9,1.0,18.78516077616953,331.2752060569859,1.0653028644857225,0.0,34.70540396719993
1,0,1,0,0,25,2024-06-01,01:37:00,15.0,1.0,1.0,1.0,1.0,21.0,345.1699198315403,0.97,0.0,33.3,0,1,0,0,0.9,1.0,1.0,0.9,21.700311177061728,362.4739331065152,1.0183407854706115,0.0,35.60813496793171
1,0,1,0,0,25,2024-06-01,01:38:00,15.0,1.0,1.0,1.0,1.0,21.0,320.3425395036222,0.97,0.0,50.38,0,1,0,0,0.9,0.9,1.0,1.0,20.133309804295877,275.3903070089762,1.1059710356730397,0.0,46.02440166231547
1,0,1,0,0,25,2024-06-01,01:39:00,15.0,1.0,1.0,1.0,1.0,21.0,341.1109933888715,0.96,0.0,53.04,0,0,0,0,1.0,1.0,0.9,0.9,17.962129660377258,350.9531315846418,0.9913893106185585,0.0,58.64525176671675
1,0,1,0,0,25,2024-06-01,01:40:00,15.0,1.0,1.0,1.0,1.0,21.0,349.1077132917817,0.96,0.0,68.72,0,1,0,1,0.9,0.9,1.0,1.0,22.954977741201784,345.0238884466107,0.9221049952734387,0.0,75.0913683216048
1,0,1,0,0,25,2024-06-01,01:41:00,15.0,1.0,1.0,1.0,1.0,21.0,333.1298398444461,0.95,0.0,63.96,0,1,0,0,1.0,1.0,1.0,1.0,22.743732622655383,342.7172094428621,0.9231672275682006,0.0,58.452733679624835
1,0,1,0,0,25,2024-06-01,01:42:00,15.0,1.0,1.0,1.0,1.0,21.0,327.04920214987857,0.95,0.0,45.87,0,1,0,0,1.0,1.0,0.9,0.9,23.46780467452158,368.95388060877724,0.9369669959175461,0.0,50.75731031358073
1,0,1,0,0,25,2024-06-01,01:43:00,15.0,1.0,1.0,1.0,1.0,21.0,341.14613030130147,0.95,0.0,40.24,0,1,0,0,1.0,0.9,1.0,1.0,21.557808614016775,377.1624225318804,1.0438215834904851,0.0,37.212906126402075
1,0,1,0,0,25,2024-06-01,01:44:00,15.0,1.0,1.0,1.0,1.0,21.0,344.5138442604675,0.95,0.0,40.89,0,1,0,0,1.0,0.9,1.0,1.0,22.17317718856928,353.69983087306133,0.9037908660403146,0.0,45.02625411424238
