n_people,window1,window2,window3,window4,room_size,date,time,ext_temperature,shutter1,shutter2,shutter3,shutter4,temperature,co2,pressure,brightness,humidity
2,0,1,0,0,25,2024-06-01,01:46:00,15.0,1.0,1.0,1.0,1.0,21.0,398.0221165153688,0.96,0.0,43.33
2,0,1,0,0,25,2024-06-01,01:47:00,15.0,1.0,1.0,1.0,1.0,21.0,343.1001232994777,0.96,0.0,49.78
2,0,1,0,0,25,2024-06-01,01:48:00,15.0,1.0,1.0,1.0,1.0,21.0,370.2877358982717,0.96,0.0,38.63
2,0,1,0,0,25,2024-06-01,01:49:00,15.0,1.0,1.0,1.0,1.0,21.0,383.107236839353,0.96,0.0,31.17
1,0,1,0,0,25,2024-06-01,01:50:00,15.0,1.0,1.0,1.0,1.0,21.0,345.8792141344754,0.95,0.0,32.5
1,0,1,0,0,25,2024-06-01,01:51:00,15.0,1.0,1.0,1.0,1.0,21.0,325.3776683572337,0.95,0.0,47.16
1,0,1,0,0,25,2024-06-01,01:52:00,15.0,1.0,1.0,1.0,1.0,21.0,344.0001044529104,0.95,0.0,59.37
2,0,1,0,0,25,2024-06-01,01:53:00,15.0,1.0,1.0,1.0,1.0,21.0,373.1624245431127,0.96,0.0,68.71
2,0,1,0,0,25,2024-06-01,01:54:00,15.0,1.0,1.0,1.0,1.0,21.0,363.7932209193978,0.96,0.0,56.32
2,0,1,0,0,25,2024-06-01,01:55:00,15.0,1.0,1.0,1.0,1.0,21.0,347.9029017147456,0.96,0.0,59.29
2,0,1,0,0,25,2024-06-01,01:56:00,15.0,1.0,1.0,1.0,1.0,21.0,391.91774553453473,0.96,0.0,40.97
2,0,1,0,0,25,2024-06-01,01:57:00,15.0,1.0,1.0,1.0,1.0,21.0,349.4363924907829,0.96,0.0,39.9
2,0,1,0,0,25,2024-06-01,01:58:00,15.0,1.0,1.0,1.0,1.0,21.0,358.587271552546,0.96,0.0,38.16
2,0,1,0,0,25,2024-06-01,01:59:00,15.0,1.0,1.0,1.0,1.0,21.0,357.4027319177462,0.96,0.0,41.44
2,0,1,0,0,25,2024-06-01,02:00:00,15.0,1.0,1.0,1.0,1.0,21.0,392.2848420514513,0.96,0.0,60.26
2,0,1,0,0,25,2024-06-01,02:01:00,15.0,1.0,1.0,1.0,1.0,21.0,380.3621796525339,0.96,0.0,49.07
2,0,1,0,0,25,2024-06-01,02:02:00,15.0,1.0,1.0,1.0,1.0,21.0,387.8008838314824,0.96,0.0,32.07
2,0,1,0,0,25,2024-06-01,02:03:00,15.0,1.0,1.0,1.0,1.0,21.0,355.02807392754994,0.96,0.0,64.2
2,0,1,0,0,25,2024-06-01,02:04:00,15.0,1.0,1.0,1.0,1.0,21.0,377.49244597642,0.96,0.0,52.54
2,0,1,0,0,25,2024-06-01,02:05:00,15.0,1.0,1.0,1.0,1.0,21.0,374.30475898862494,0.96,0.0,47.83
2,0,1,0,0,25,2024-06-01,02:06:00,15.0,1.0,1.0,1.0,1.0,21.0,389.9698226072962,0.96,0.0,38.77
2,0,1,0,0,25,2024-06-01,02:07:00,15.0,1.0,1.0,1.0,1.0,21.0,394.3652236288757,0.96,0.0,44.03
2,0,1,0,0,25,2024-06-01,02:08:00,15.0,1.0,1.0,1.0,1.0,21.0,340.7294062886432,0.96,0.0,47.5
1,0,1,0,0,25,2024-06-01,02:09:00,15.0,1.0,1.0,1.0,1.0,21.0,340.2205975717638,0.95,0.0,32.58
1,0,1,0,0,25,2024-06-01,02:10:00,15.0,1.0,1.0,1.0,1.0,21.0,321.55507397359185,0.95,0.0,44.43
1,0,1,0,0,25,2024-06-01,02:11:00,15.0,1.0,1.0,1.0,1.0,21.0,336.4657599523207,0.95,0.0,55.57
1,0,1,0,0,25,2024-06-01,02:12:00,15.0,1.0,1.0,1.0,1.0,21.0,328.6289818713103,0.95,0.0,54.87
1,0,1,0,0,25,2024-06-01,02:13:00,15.0,1.0,1.0,1.0,1.0,21.0,329.2032979856642,0.95,0.0,63.81
1,0,1,0,0,25,2024-06-01,02:14:00,15.0,1.0,1.0,1.0,1.0,21.0,330.5887551035707,0.95,0.0,67.8
2,0,1,0,0,25,2024-06-01,02:15:00,15.0,1.0,1.0,1.0,1.0,21.0,377.27754694297664,0.96,0.0,40.95
2,0,1,0,0,25,2024-06-01,02:16:00,15.0,1.0,1.0,1.0,1.0,21.0,360.04299794012616,0.96,0.0,62.32
2,0,1,0,0,25,2024-06-01,02:17:00,15.0,1.0,1.0,1.0,1.0,21.0,383.9619430354168,0.96,0.0,40.6
2,0,1,0,0,25,2024-06-01,02:18:00,15.0,1.0,1.0,1.0,1.0,21.0,364.27164313443217,0.96,0.0,48.78
2,0,1,0,0,25,2024-06-01,02:19:00,15.0,1.0,1.0,1.0,1.0,21.0,344.10119201859754,0.96,0.0,37.44
3,0,1,0,0,25,2024-06-01,02:20:00,15.0,1.0,1.0,1.0,1.0,21.0,430.5383858235696,0.97,0.0,54.47
4,0,1,0,0,25,2024-06-01,02:21:00,15.0,1.0,1.0,1.0,1.0,21.0,414.2909989511247,0.98,0.0,50.76
4,0,1,0,0,25,2024-06-01,02:22:00,15.0,1.0,1.0,1.0,1.0,21.0,431.9320255519115,0.98,0.0,43.12
4,0,1,0,0,25,2024-06-01,02:23:00,15.0,1.0,1.0,1.0,1.0,21.0,462.2532659866282,0.98,0.0,31.43
4,0,1,0,0,25,2024-06-01,02:24:00,15.0,1.0,1.0,1.0,1.0,21.0,419.8947388578454,0.98,0.0,34.26
4,0,1,0,0,25,2024-06-01,02:25:00,15.0,1.0,1.0,1.0,1.0,21.0,386.7902787376059,0.98,0.0,50.82
3,0,1,0,0,25,2024-06-01,02:26:00,15.0,1.0,1.0,1.0,1.0,21.0,393.65289423115325,0.97,0.0,48.24
3,0,1,0,0,25,2024-06-01,02:27:00,15.0,1.0,1.0,1.0,1.0,21.0,445.0003724424873,0.97,0.0,59.09
3,0,1,0,0,25,2024-06-01,02:28:00,15.0,1.0,1.0,1.0,1.0,21.0,417.7560957568703,0.97,0.0,58.53
2,0,1,0,0,25,2024-06-01,02:29:00,15.0,1.0,1.0,1.0,1.0,21.0,380.2887489200324,0.96,0.0,68.42
2,0,1,0,0,25,2024-06-01,02:30:00,15.0,1.0,1.0,1.0,1.0,21.0,377.9369292182584,0.96,0.0,56.5
3,0,1,0,0,25,2024-06-01,02:31:00,15.0,1.0,1.0,1.0,1.0,21.0,377.9092925063493,0.97,0.0,63.33
3,0,1,0,0,25,2024-06-01,02:32:00,15.0,1.0,1.0,1.0,1.0,21.0,397.6500477692052,0.97,0.0,63.5
3,0,1,0,0,25,2024-06-01,02:33:00,15.0,1.0,1.0,1.0,1.0,21.0,427.58458185269865,0.97,0.0,45.66
3,0,1,0,0,25,2024-06-01,02:34:00,15.0,1.0,1.0,1.0,1.0,21.0,369.1235607797843,0.97,0.0,41.76
4,0,1,0,0,25,2024-06-01,02:35:00,15.0,1.0,1.0,1.0,1.0,21.0,413.3423331307655,0.98,0.0,48.0
4,0,1,0,0,25,2024-06-01,02:36:00,15.0,1.0,1.0,1.0,1.0,21.0,413.1582930159024,0.98,0.0,47.64
4,0,1,0,0,25,2024-06-01,02:37:00,15.0,1.0,1.0,1.0,1.0,21.0,431.8422713113407,0.98,0.0,44.19
4,0,1,0,0,25,2024-06-01,02:38:00,15.0,1.0,1.0,1.0,1.0,21.0,497.6442489130622,0.98,0.0,68.57
4,0,1,0,0,25,2024-06-01,02:39:00,15.0,1.0,1.0,1.0,1.0,21.0,388.1003056020586,0.98,0.0,31.56
4,0,1,0,0,25,2024-06-01,02:40:00,15.0,1.0,1.0,1.0,1.0,21.0,442.2441193256714,0.98,0.0,68.42
4,0,1,0,0,25,2024-06-01,02:41:00,15.0,1.0,1.0,1.0,1.0,21.0,401.5237618414653,0.98,0.0,63.11
4,0,1,0,0,25,2024-06-01,02:42:00,15.0,1.0,1.0,1.0,1.0,21.0,496.4811854491693,0.98,0.0,58.92
4,0,1,0,0,25,2024-06-01,02:43:00,15.0,1.0,1.0,1.0,1.0,21.0,393.5964205672957,0.98,0.0,60.1
4,0,1,0,0,25,2024-06-01,02:44:00,15.0,1.0,1.0,1.0,1.0,21.0,428.432120283391,0.98,0.0,31.34
3,0,1,0,0,25,2024-06-01,02:45:00,15.0,1.0,1.0,1.0,1.0,21.0,426.40964863511454,0.97,0.0,67.37
3,0,1,0,0,25,2024-06-01,02:46:00,15.0,1.0,1.0,1.0,1.0,21.0,423.4098985224701,0.97,0.0,32.08
3,0,1,0,0,25,2024-06-01,02:47:00,15.0,1.0,1.0,1.0,1.0,21.0,398.0455773204539,0.97,0.0,39.61
3,0,1,0,0,25,2024-06-01,02:48:00,15.0,1.0,1.0,1.0,1.0,21.0,391.1871751157447,0.97,0.0,39.36
2,0,1,0,0,25,2024-06-01,02:49:00,15.0,1.0,1.0,1.0,1.0,21.0,363.85674271317225,0.96,0.0,65.43
2,0,1,0,0,25,2024-06-01,02:50:00,15.0,1.0,1.0,1.0,1.0,21.0,355.8565757895184,0.96,0.0,45.45
2,0,1,0,0,25,2024-06-01,02:51:00,15.0,1.0,1.0,1.0,1.0,21.0,352.319976322408,0.96,0.0,60.02
1,0,1,0,0,25,2024-06-01,02:52:00,15.0,1.0,1.0,1.0,1.0,21.0,334.4911909267667,0.95,0.0,56.38
1,0,1,0,0,25,2024-06-01,02:53:00,15.0,1.0,1.0,1.0,1.0,21.0,328.0560126820282,0.95,0.0,31.41
1,0,1,0,0,25,2024-06-01,02:54:00,15.0,1.0,1.0,1.0,1.0,21.0,328.6238499469175,0.95,0.0,53.87
1,0,1,0,0,25,2024-06-01,02:55:00,15.0,1.0,1.0,1.0,1.0,21.0,339.7026819042367,0.95,0.0,49.63
1,0,1,0,0,25,2024-06-01,02:56:00,15.0,1.0,1.0,1.0,1.0,21.0,349.0561199509968,0.95,0.0,44.01
1,0,1,0,0,25,2024-06-01,02:57:00,15.0,1.0,1.0,1.0,1.0,21.0,338.1091160167813,0.95,0.0,48.64
1,0,1,0,0,25,2024-06-01,02:58:00,15.0,1.0,1.0,1.0,1.0,21.0,322.30938401194896,0.95,0.0,48.57
2,0,1,0,0,25,2024-06-01,02:59:00,15.0,1.0,1.0,1.0,1.0,21.0,344.53501683124404,0.96,0.0,51.4
2,0,1,0,0,25,2024-06-01,03:00:00,15.0,1.0,1.0,1.0,1.0,21.0,397.08539325073394,0.96,0.0,56.9
2,0,1,0,0,25,2024-06-01,03:01:00,15.0,1.0,1.0,1.0,1.0,21.0,357.83744741844004,0.96,0.0,61.22
2,0,1,0,0,25,2024-06-01,03:02:00,15.0,1.0,1.0,1.0,1.0,21.0,345.5240191649485,0.96,0.0,48.69
3,0,1,0,0,25,2024-06-01,03:03:00,15.0,1.0,1.0,1.0,1.0,21.0,413.9140128435344,0.97,0.0,55.47
3,0,1,0,0,25,2024-06-01,03:04:00,15.0,1.0,1.0,1.0,1.0,21.0,416.128390046124,0.97,0.0,32.51
3,0,1,0,0,25,2024-06-01,03:05:00,15.0,1.0,1.0,1.0,1.0,21.0,418.3654338106819,0.97,0.0,35.83
3,0,1,0,0,25,2024-06-01,03:06:00,15.0,1.0,1.0,1.0,1.0,21.0,384.0661825071787,0.97,0.0,63.13
3,0,1,0,0,25,2024-06-01,03:07:00,15.0,1.0,1.0,1.0,1.0,21.0,361.3599615793028,0.97,0.0,59.65
3,0,1,0,0,25,2024-06-01,03:08:00,15.0,1.0,1.0,1.0,1.0,21.0,446.8513832509025,0.97,0.0,47.07
3,0,1,0,0,25,2024-06-01,03:09:00,15.0,1.0,1.0,1.0,1.0,21.0,382.58037411219925,0.97,0.0,44.12
3,0,1,0,0,25,2024-06-01,03:10:00,15.0,1.0,1.0,1.0,1.0,21.0,420.8423659247293,0.97,0.0,31.73
2,0,1,0,0,25,2024-06-01,03:11:00,15.0,1.0,1.0,1.0,1.0,21.0,382.3977921927226,0.96,0.0,44.86
2,0,1,0,0,25,2024-06-01,03:12:00,15.0,1.0,1.0,1.0,1.0,21.0,376.6004450247692,0.96,0.0,62.49
3,0,1,0,0,25,2024-06-01,03:13:00,15.0,1.0,1.0,1.0,1.0,21.0,388.1616654792283,0.97,0.0,68.36
3,0,1,0,0,25,2024-06-01,03:14:00,15.0,1.0,1.0,1.0,1.0,21.0,384.3986628387659,0.97,0.0,52.44
3,0,1,0,0,25,2024-06-01,03:15:00,15.0,1.0,1.0,1.0,1.0,21.0,413.7901454432433,0.97,0.0,52.53
3,0,1,0,0,25,2024-06-01,03:16:00,15.0,1.0,1.0,1.0,1.0,21.0,437.9486070250522,0.97,0.0,56.82
3,0,1,0,0,25,2024-06-01,03:17:00,15.0,1.0,1.0,1.0,1.0,21.0,445.2060356031056,0.97,0.0,52.17
3,0,1,0,0,25,2024-06-01,03:18:00,15.0,1.0,1.0,1.0,1.0,21.0,369.5315223963382,0.97,0.0,42.78
3,0,1,0,0,25,2024-06-01,03:19:00,15.0,1.0,1.0,1.0,1.0,21.0,373.9345751337948,0.97,0.0,51.14
3,0,1,0,0,25,2024-06-01,03:20:00,15.0,1.0,1.0,1.0,1.0,21.0,445.0262632904772,0.97,0.0,47.14
